airport_code,city,state,airport_key
ABE,"Allentown/Bethlehem/Easton, PA",Pennsylvania,1
ABI,"Abilene, TX",Texas,2
ABQ,"Albuquerque, NM",New Mexico,3
ABR,"Aberdeen, SD",South Dakota,4
ACK,"Nantucket, MA",Massachusetts,5
ACT,"Waco, TX",Texas,6
ACV,"Arcata/Eureka, CA",California,7
ACY,"Atlantic City, NJ",New Jersey,8
ADK,"Adak Island, AK",Alaska,9
ADQ,"Kodiak, AK",Alaska,10
AEX,"Alexandria, LA",Louisiana,11
AGS,"Augusta, GA",Georgia,12
ALB,"Albany, NY",New York,13
ALW,"Walla Walla, WA",Washington,14
AMA,"Amarillo, TX",Texas,15
ANC,"Anchorage, AK",Alaska,16
ASE,"Aspen, CO",Colorado,17
ATL,"Atlanta, GA",Georgia,18
ATW,"Appleton, WI",Wisconsin,19
AUS,"Austin, TX",Texas,20
AVL,"Asheville, NC",North Carolina,21
AVP,"Scranton/Wilkes-Barre, PA",Pennsylvania,22
AZA,"Phoenix, AZ",Arizona,23
AZO,"Kalamazoo, MI",Michigan,24
BDL,"Hartford, CT",Connecticut,25
BET,"Bethel, AK",Alaska,26
BFF,"Scottsbluff, NE",Nebraska,27
BFL,"Bakersfield, CA",California,28
BGM,"Binghamton, NY",New York,29
BGR,"Bangor, ME",Maine,30
BHM,"Birmingham, AL",Alabama,31
BIL,"Billings, MT",Montana,32
BIS,"Bismarck/Mandan, ND",North Dakota,33
BJI,"Bemidji, MN",Minnesota,34
BLI,"Bellingham, WA",Washington,35
BLV,"Belleville, IL",Illinois,36
BMI,"Bloomington/Normal, IL",Illinois,37
BNA,"Nashville, TN",Tennessee,38
BOI,"Boise, ID",Idaho,39
BOS,"Boston, MA",Massachusetts,40
BPT,"Beaumont/Port Arthur, TX",Texas,41
BQK,"Brunswick, GA",Georgia,42
BQN,"Aguadilla, PR",Puerto Rico,43
BRD,"Brainerd, MN",Minnesota,44
BRO,"Brownsville, TX",Texas,45
BRW,"Barrow, AK",Alaska,46
BTR,"Baton Rouge, LA",Louisiana,47
BTV,"Burlington, VT",Vermont,48
BUF,"Buffalo, NY",New York,49
BUR,"Burbank, CA",California,50
BWI,"Baltimore, MD",Maryland,51
BZN,"Bozeman, MT",Montana,52
CAE,"Columbia, SC",South Carolina,53
CAK,"Akron, OH",Ohio,54
CDV,"Cordova, AK",Alaska,55
CHA,"Chattanooga, TN",Tennessee,56
CHO,"Charlottesville, VA",Virginia,57
CHS,"Charleston, SC",South Carolina,58
CID,"Cedar Rapids/Iowa City, IA",Iowa,59
CIU,"Sault Ste. Marie, MI",Michigan,60
CKB,"Clarksburg/Fairmont, WV",West Virginia,61
CLE,"Cleveland, OH",Ohio,62
CLL,"College Station/Bryan, TX",Texas,63
CLT,"Charlotte, NC",North Carolina,64
CMH,"Columbus, OH",Ohio,65
CMI,"Champaign/Urbana, IL",Illinois,66
COS,"Colorado Springs, CO",Colorado,67
COU,"Columbia, MO",Missouri,68
CPR,"Casper, WY",Wyoming,69
CRP,"Corpus Christi, TX",Texas,70
CRW,"Charleston/Dunbar, WV",West Virginia,71
CSG,"Columbus, GA",Georgia,72
CVG,"Cincinnati, OH",Kentucky,73
CWA,"Mosinee, WI",Wisconsin,74
CYS,"Cheyenne, WY",Wyoming,75
DAB,"Daytona Beach, FL",Florida,76
DAL,"Dallas, TX",Texas,77
DAY,"Dayton, OH",Ohio,78
DCA,"Washington, DC",Virginia,79
DDC,"Dodge City, KS",Kansas,80
DEC,"Decatur, IL",Illinois,81
DEN,"Denver, CO",Colorado,82
DFW,"Dallas/Fort Worth, TX",Texas,83
DHN,"Dothan, AL",Alabama,84
DIK,"Dickinson, ND",North Dakota,85
DLG,"Dillingham, AK",Alaska,86
DLH,"Duluth, MN",Minnesota,87
DRO,"Durango, CO",Colorado,88
DSM,"Des Moines, IA",Iowa,89
DTW,"Detroit, MI",Michigan,90
EAR,"Kearney, NE",Nebraska,91
ECP,"Panama City, FL",Florida,92
EGE,"Eagle, CO",Colorado,93
ELM,"Elmira/Corning, NY",New York,94
ELP,"El Paso, TX",Texas,95
EUG,"Eugene, OR",Oregon,96
EVV,"Evansville, IN",Indiana,97
EWR,"Newark, NJ",New Jersey,98
EYW,"Key West, FL",Florida,99
FAI,"Fairbanks, AK",Alaska,100
FAR,"Fargo, ND",North Dakota,101
FAT,"Fresno, CA",California,102
FAY,"Fayetteville, NC",North Carolina,103
FCA,"Kalispell, MT",Montana,104
FLG,"Flagstaff, AZ",Arizona,105
FLL,"Fort Lauderdale, FL",Florida,106
FNT,"Flint, MI",Michigan,107
FSD,"Sioux Falls, SD",South Dakota,108
FSM,"Fort Smith, AR",Arkansas,109
FWA,"Fort Wayne, IN",Indiana,110
GCC,"Gillette, WY",Wyoming,111
GCK,"Garden City, KS",Kansas,112
GEG,"Spokane, WA",Washington,113
GFK,"Grand Forks, ND",North Dakota,114
GGG,"Longview, TX",Texas,115
GJT,"Grand Junction, CO",Colorado,116
GNV,"Gainesville, FL",Florida,117
GPT,"Gulfport/Biloxi, MS",Mississippi,118
GRB,"Green Bay, WI",Wisconsin,119
GRI,"Grand Island, NE",Nebraska,120
GRK,"Killeen, TX",Texas,121
GRR,"Grand Rapids, MI",Michigan,122
GSO,"Greensboro/High Point, NC",North Carolina,123
GSP,"Greer, SC",South Carolina,124
GST,"Gustavus, AK",Alaska,125
GTF,"Great Falls, MT",Montana,126
GTR,"Columbus, MS",Mississippi,127
GUC,"Gunnison, CO",Colorado,128
GUM,"Guam, TT",U.S. Pacific Trust Territories and Possessions,129
HDN,"Hayden, CO",Colorado,130
HGR,"Hagerstown, MD",Maryland,131
HHH,"Hilton Head, SC",South Carolina,132
HIB,"Hibbing, MN",Minnesota,133
HLN,"Helena, MT",Montana,134
HNL,"Honolulu, HI",Hawaii,135
HOU,"Houston, TX",Texas,136
HPN,"White Plains, NY",New York,137
HRL,"Harlingen/San Benito, TX",Texas,138
HSV,"Huntsville, AL",Alabama,139
HTS,"Ashland, WV",West Virginia,140
HYS,"Hays, KS",Kansas,141
IAD,"Washington, DC",Virginia,142
IAH,"Houston, TX",Texas,143
ICT,"Wichita, KS",Kansas,144
IDA,"Idaho Falls, ID",Idaho,145
