flight_id,date_key,airline_key,origin_key,dest_key,op_carrier_fl_num,crs_dep_time,dep_time,dep_delay,crs_arr_time,arr_time,arr_delay,taxi_out,taxi_in,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,cancelled,diverted,cancellation_code
1,20240418,9,83,241,3535.0,1018,1015.0,-3.0,1149,1139.0,-10.0,21.0,4.0,151.0,144.0,119.0,835.0,0,0,0,0,0,0,0,
2,20240101,2,64,225,148.0,1637,1633.0,-4.0,1923,1906.0,-17.0,14.0,6.0,286.0,273.0,253.0,1773.0,0,0,0,0,0,0,0,
3,20241212,1,56,18,5440.0,1000,952.0,-8.0,1059,1042.0,-17.0,13.0,8.0,59.0,50.0,29.0,106.0,0,0,0,0,0,0,0,
4,20240408,14,214,163,1971.0,1330,1334.0,4.0,1430,1431.0,1.0,8.0,6.0,180.0,177.0,163.0,1099.0,0,0,0,0,0,0,0,
5,20240216,14,51,209,862.0,1340,1333.0,-7.0,1510,1509.0,-1.0,16.0,4.0,90.0,96.0,76.0,399.0,0,0,0,0,0,0,0,
6,20240415,14,256,225,2358.0,715,708.0,-7.0,830,816.0,-14.0,13.0,4.0,75.0,68.0,51.0,304.0,0,0,0,0,0,0,0,
7,20241127,7,196,1,163.0,933,924.0,-9.0,1202,1158.0,-4.0,12.0,5.0,149.0,154.0,137.0,914.0,0,0,0,0,0,0,0,
8,20240831,3,38,222,1269.0,1855,1850.0,-5.0,2155,2128.0,-27.0,21.0,3.0,300.0,278.0,254.0,1973.0,0,0,0,0,0,0,0,
9,20240419,12,165,273,3438.0,820,814.0,-6.0,939,937.0,-2.0,29.0,5.0,79.0,83.0,49.0,308.0,0,0,0,0,0,0,0,
10,20240208,12,268,28,5654.0,2235,2227.0,-8.0,2350,2327.0,-23.0,17.0,3.0,75.0,60.0,40.0,238.0,0,0,0,0,0,0,0,
11,20240919,7,89,20,1510.0,1501,1548.0,47.0,1707,1743.0,36.0,12.0,7.0,126.0,115.0,96.0,813.0,0,0,0,0,36,0,0,
12,20240328,2,194,174,2050.0,2039,2115.0,36.0,2337,25.0,48.0,48.0,5.0,178.0,190.0,137.0,1096.0,19,0,12,0,17,0,0,
13,20240614,2,246,64,1911.0,635,639.0,4.0,759,805.0,6.0,27.0,7.0,84.0,86.0,52.0,257.0,0,0,0,0,0,0,0,
14,20241026,14,293,38,1102.0,1925,1911.0,-14.0,2015,1948.0,-27.0,6.0,4.0,110.0,97.0,87.0,612.0,0,0,0,0,0,0,0,
15,20240821,2,165,224,2832.0,905,903.0,-2.0,1725,1707.0,-18.0,13.0,11.0,320.0,304.0,280.0,2402.0,0,0,0,0,0,0,0,
16,20240323,13,108,82,2432.0,905,859.0,-6.0,1002,947.0,-15.0,10.0,23.0,117.0,108.0,75.0,483.0,0,0,0,0,0,0,0,
17,20240721,13,142,82,1926.0,1610,1612.0,2.0,1814,1750.0,-24.0,12.0,14.0,244.0,218.0,192.0,1452.0,0,0,0,0,0,0,0,
18,20241218,13,82,142,1101.0,800,754.0,-6.0,1319,1302.0,-17.0,18.0,4.0,199.0,188.0,166.0,1452.0,0,0,0,0,0,0,0,
19,20241011,5,18,206,3146.0,1540,1537.0,-3.0,1612,1600.0,-12.0,10.0,6.0,92.0,83.0,67.0,425.0,0,0,0,0,0,0,0,
20,20240412,14,282,51,1124.0,1810,1806.0,-4.0,2035,2025.0,-10.0,10.0,11.0,145.0,139.0,118.0,880.0,0,0,0,0,0,0,0,
21,20240724,12,90,214,4055.0,832,827.0,-5.0,935,929.0,-6.0,14.0,3.0,123.0,122.0,105.0,651.0,0,0,0,0,0,0,0,
22,20240908,6,293,62,2920.0,1805,1817.0,12.0,2041,2105.0,24.0,31.0,11.0,156.0,168.0,126.0,927.0,12,0,12,0,0,0,0,
23,20241125,13,143,216,469.0,720,715.0,-5.0,1002,946.0,-16.0,21.0,9.0,162.0,151.0,121.0,925.0,0,0,0,0,0,0,0,
24,20241006,5,83,174,461.0,600,556.0,-4.0,1032,1007.0,-25.0,14.0,5.0,212.0,191.0,172.0,1389.0,0,0,0,0,0,0,0,
25,20240116,2,83,183,2100.0,1538,,,1710,,,,,92.0,,,460.0,0,0,0,0,0,1,0,B
26,20241007,12,216,110,5581.0,1405,1358.0,-7.0,1613,1612.0,-1.0,39.0,4.0,68.0,74.0,31.0,157.0,0,0,0,0,0,0,0,
27,20240208,2,238,64,1576.0,1004,957.0,-7.0,1226,1155.0,-31.0,9.0,7.0,142.0,118.0,102.0,683.0,0,0,0,0,0,0,0,
28,20240921,12,165,3,4108.0,829,918.0,49.0,1130,1213.0,43.0,23.0,8.0,121.0,115.0,84.0,677.0,43,0,0,0,0,0,0,
