cohort_week,cohort_size,day_offset,retained_users,retention_pct
2016-W10,2,0,2,100.0
2016-W10,2,1,2,100.0
2016-W10,2,2,2,100.0
2016-W10,2,3,2,100.0
2016-W10,2,5,2,100.0
2016-W10,2,7,2,100.0
2016-W10,2,10,2,100.0
2016-W10,2,14,2,100.0
2016-W10,2,17,2,100.0
2016-W10,2,21,2,100.0
2016-W10,2,24,2,100.0
2016-W10,2,27,2,100.0
2016-W10,2,30,2,100.0
2016-W12,2,0,2,100.0
2016-W12,2,1,2,100.0
2016-W12,2,2,2,100.0
2016-W12,2,3,2,100.0
2016-W12,2,5,2,100.0
2016-W12,2,7,2,100.0
2016-W12,2,10,2,100.0
2016-W12,2,14,2,100.0
2016-W12,2,17,2,100.0
2016-W12,2,21,1,50.0
2016-W12,2,24,1,50.0
2016-W12,2,27,1,50.0
2016-W12,2,30,1,50.0
2016-W13,31,0,31,100.0
2016-W13,31,1,31,100.0
2016-W13,31,2,31,100.0
2016-W13,31,3,31,100.0
2016-W13,31,5,31,100.0
2016-W13,31,7,31,100.0
2016-W13,31,10,28,90.3
2016-W13,31,14,17,54.8
2016-W13,31,17,16,51.6
2016-W13,31,21,17,54.8
2016-W13,31,24,17,54.8
2016-W13,31,27,18,58.1
2016-W13,31,30,18,58.1
