Id,cohort_date,cohort_week,day_0_retained,day_7_retained,day_14_retained,day_21_retained,day_30_retained,heart_rate_monitoring,sleep_tracking,step_tracking,n_active_days
1503960366,2016-03-25,2016-W12,True,True,True,True,True,0,25,19,43
1624580081,2016-03-25,2016-W12,True,True,True,False,False,0,0,19,19
1644430081,2016-04-01,2016-W13,True,True,False,False,True,0,4,10,14
1844505072,2016-04-01,2016-W13,True,True,True,False,True,0,3,12,15
1927972279,2016-04-01,2016-W13,True,True,True,False,False,0,5,12,16
2022484408,2016-04-01,2016-W13,True,True,False,False,False,12,0,12,12
2026352035,2016-04-01,2016-W13,True,True,True,True,True,0,28,12,39
2320127002,2016-04-01,2016-W13,True,True,False,True,False,0,1,12,13
2347167796,2016-03-29,2016-W13,True,True,True,True,True,14,15,15,30
2873212765,2016-04-01,2016-W13,True,True,False,False,False,0,0,12,12
2891001357,2016-03-29,2016-W13,True,True,False,False,False,0,0,8,8
3372868164,2016-04-01,2016-W13,True,True,False,False,False,0,0,10,10
3977333714,2016-04-01,2016-W13,True,True,True,True,True,0,28,12,39
4020332650,2016-03-12,2016-W10,True,True,True,True,True,12,8,32,39
4057192912,2016-03-12,2016-W10,True,True,True,True,True,0,0,32,32
4319703577,2016-03-29,2016-W13,True,True,True,True,True,0,26,12,38
4388161847,2016-03-29,2016-W13,True,True,False,True,True,0,23,8,31
4445114986,2016-03-29,2016-W13,True,True,True,True,True,0,28,15,42
4558609924,2016-04-01,2016-W13,True,True,False,True,True,12,5,12,17
4702921684,2016-03-29,2016-W13,True,True,True,True,True,0,27,15,41
5553957443,2016-04-01,2016-W13,True,True,True,True,True,12,31,12,42
5577150313,2016-04-01,2016-W13,True,True,True,True,True,11,26,11,37
6117666160,2016-04-01,2016-W13,True,True,True,True,True,8,18,10,28
6290855005,2016-04-01,2016-W13,True,True,False,False,False,0,0,10,10
6391747486,2016-04-01,2016-W13,True,True,False,False,False,1,0,9,9
6775888955,2016-04-01,2016-W13,True,True,True,False,False,6,3,9,12
6962181067,2016-03-30,2016-W13,True,True,True,True,True,14,31,14,44
7007744171,2016-04-01,2016-W13,True,True,True,False,True,11,2,12,14
7086361926,2016-04-01,2016-W13,True,True,True,True,True,0,24,12,35
8053475328,2016-04-02,2016-W13,True,True,False,True,False,0,3,11,14
8253242879,2016-04-01,2016-W13,True,True,False,False,False,0,0,12,12
8378563200,2016-04-01,2016-W13,True,True,True,True,True,0,31,12,42
8583815059,2016-04-01,2016-W13,True,True,False,False,False,0,0,8,8
8792009665,2016-04-01,2016-W13,True,True,True,True,True,11,15,12,26
8877689391,2016-04-01,2016-W13,True,True,False,False,False,12,0,12,12
