Severity,Start_Lat,Start_Lng,Start_Time,Hour,DayOfWeek,Month,Weather_Group,City,Temperature(F),Visibility(mi),Humidity(%),Wind_Speed(mph)
2,30.154238,-97.800631,2021-12-03 16:44:00,16,Friday,12,Clear,Austin,75.0,10.0,71.0,8.0
2,29.768961,-95.410586,2021-02-12 19:16:39,19,Friday,2,Cloudy,Houston,37.0,7.0,82.0,17.0
2,32.28607,-95.316172,2021-02-14 01:24:24,1,Sunday,2,Cloudy,Tyler,24.0,10.0,81.0,9.0
2,32.912346,-96.737054,2020-11-27 14:21:26,14,Friday,11,Clear,Dallas,64.0,10.0,40.0,14.0
2,26.29241,-98.351837,2018-01-26 07:21:47,7,Friday,1,Fog,Mission,57.9,0.8,97.0,
2,29.753954,-95.398041,2018-03-16 14:59:00,14,Friday,3,Cloudy,Houston,80.6,10.0,65.0,5.8
2,30.273577000000003,-97.697914,2016-12-01 12:14:45,12,Thursday,12,Cloudy,Austin,64.9,10.0,26.0,9.2
2,29.83062,-95.429665,2017-08-25 11:02:46,11,Friday,8,Other,Houston,,,,
2,30.23543,-97.853925,2021-09-24 11:19:00,11,Friday,9,Clear,Austin,88.0,10.0,21.0,3.0
2,30.260932,-97.735567,2021-06-18 16:40:00,16,Friday,6,Clear,Austin,94.0,10.0,40.0,5.0
2,29.692579,-95.530243,2018-01-15 18:40:54,18,Monday,1,Cloudy,Houston,59.0,10.0,63.0,6.9
2,32.827909000000005,-96.783239,2021-11-14 18:20:00,18,Sunday,11,Cloudy,Dallas,63.0,10.0,46.0,3.0
2,30.22475123,-97.7460587,2022-12-16 09:02:31,9,Friday,12,Cloudy,Austin,47.0,10.0,74.0,6.0
1,30.227449,-97.611053,2022-07-26 08:45:15,8,Tuesday,7,Clear,Austin,81.0,10.0,79.0,12.0
2,30.23638900000001,-97.747208,2019-09-26 18:47:54,18,Thursday,9,Clear,Austin,92.0,10.0,30.0,8.0
2,33.004591999999995,-96.708013,2018-05-15 18:42:09,18,Tuesday,5,Clear,Plano,84.2,10.0,51.0,9.2
2,32.58408,-97.31966,2017-11-30 15:52:54,15,Thursday,11,Clear,Burleson,68.0,10.0,40.0,4.6
2,29.838457,-95.333946,2016-12-04 13:06:57,13,Sunday,12,Rain,Houston,53.1,10.0,89.0,13.8
4,32.77729154,-96.7835319,2022-12-22 07:23:30,7,Thursday,12,Cloudy,Dallas,44.0,3.0,89.0,7.0
2,32.806892,-96.668266,2018-01-03 14:50:46,14,Wednesday,1,Clear,Mesquite,44.6,10.0,27.0,9.2
2,29.665016,-95.528208,2021-01-09 00:21:36,0,Saturday,1,Cloudy,Houston,45.0,10.0,71.0,3.0
2,29.810663,-95.459076,2017-11-15 10:28:01,10,Wednesday,11,Cloudy,Houston,75.2,10.0,69.0,10.4
2,29.738609000000004,-95.605896,2018-05-15 18:14:29,18,Tuesday,5,Clear,Houston,91.9,10.0,32.0,12.7
2,29.759195,-95.345757,2018-04-30 09:20:47,9,Monday,4,Clear,Houston,73.4,10.0,69.0,9.2
2,29.71995,-95.644203,2021-09-08 17:54:18,17,Wednesday,9,Clear,Houston,94.0,10.0,31.0,7.0
2,29.638571,-95.503143,2020-08-12 07:06:21,7,Wednesday,8,Cloudy,Houston,80.0,10.0,87.0,5.0
2,32.591765,-97.142855,2023-01-17 10:16:00,10,Tuesday,1,Clear,Mansfield,67.0,10.0,37.0,6.0
2,32.782387,-96.682945,2019-04-24 07:47:59,7,Wednesday,4,Other,Dallas,61.0,10.0,100.0,5.0
2,29.73046,-95.418309,2020-09-19 18:10:32,18,Saturday,9,Cloudy,Houston,85.0,10.0,46.0,13.0
2,30.379936,-97.738915,2022-11-14 17:20:57,17,Monday,11,Cloudy,Austin,54.0,10.0,90.0,0.0
2,30.259179,-97.730551,2022-09-30 06:11:00,6,Friday,9,Clear,Austin,66.0,10.0,47.0,7.0
2,32.688942,-96.787552,2016-08-26 16:17:27,16,Friday,8,Cloudy,Dallas,84.9,10.0,63.0,6.9
2,29.783348,-95.368548,2021-03-13 10:47:00,10,Saturday,3,Cloudy,Houston,78.0,10.0,58.0,15.0
2,29.77425,-95.25494,2019-08-08 08:06:55,8,Thursday,8,Cloudy,Houston,82.0,10.0,82.0,3.0
2,29.87788,-95.49437,2016-08-18 05:52:23,5,Thursday,8,Cloudy,Houston,77.0,1.5,96.0,4.6
2,30.29188,-97.72657,2019-06-07 17:48:40,17,Friday,6,Clear,Austin,93.0,10.0,37.0,9.0
2,29.69686,-95.28956,2018-01-17 16:07:53,16,Wednesday,1,Cloudy,Houston,37.0,10.0,39.0,10.4
2,29.790756,-95.393112,2017-04-21 17:15:47,17,Friday,4,Cloudy,Houston,82.4,10.0,58.0,17.3
2,29.765593,-95.456023,2021-05-08 08:42:00,8,Saturday,5,Cloudy,Houston,77.0,10.0,76.0,12.0
2,32.900552000000005,-96.717668,2022-10-16 21:47:00,21,Sunday,10,Clear,Dallas,68.0,10.0,78.0,9.0
3,30.20111,-97.76173,2020-04-20 07:13:54,7,Monday,4,Fog,Austin,62.0,0.25,96.0,6.0
2,32.916573,-96.743523,2019-12-27 12:43:52,12,Friday,12,Cloudy,Dallas,68.0,10.0,60.0,10.0
2,29.75732,-95.398109,2020-01-24 16:45:39,16,Friday,1,Clear,Houston,66.0,10.0,28.0,7.0
3,29.6754,-95.267632,2019-07-18 17:54:50,17,Thursday,7,Cloudy,Houston,92.0,10.0,52.0,14.0
3,32.87868,-96.68789,2016-09-16 10:41:03,10,Friday,9,Cloudy,Dallas,87.1,10.0,57.0,10.4
2,29.602001,-98.443077,2019-10-17 16:25:19,16,Thursday,10,Cloudy,San Antonio,74.0,10.0,27.0,5.0
3,32.919067,-96.974762,2019-10-24 15:18:39,15,Thursday,10,Cloudy,Irving,59.0,10.0,93.0,16.0
2,30.480708,-97.674214,2022-12-16 01:18:00,1,Friday,12,Clear,Round Rock,43.0,10.0,70.0,6.0
2,29.543873,-95.15155,2017-08-23 15:18:38,15,Wednesday,8,Cloudy,Friendswood,90.0,10.0,54.0,6.9
2,32.768776,-96.822845,2021-06-21 08:54:56,8,Monday,6,Cloudy,Dallas,82.0,7.0,76.0,7.0
2,30.275356,-97.733902,2018-09-11 05:42:55,5,Tuesday,9,Cloudy,Austin,73.0,9.0,90.0,
2,29.424835,-98.422668,2016-10-13 11:14:31,11,Thursday,10,Cloudy,San Antonio,82.9,10.0,67.0,9.2
3,30.071449,-95.435753,2022-02-11 16:36:44,16,Friday,2,Clear,Spring,73.0,10.0,31.0,8.0
2,30.006067,-95.267756,2021-09-29 05:49:00,5,Wednesday,9,Rain,Humble,69.0,7.0,87.0,17.0
3,29.484087,-98.403099,2017-10-26 21:18:14,21,Thursday,10,Clear,San Antonio,73.9,10.0,40.0,8.1
2,30.20099,-97.785372,2022-12-06 17:48:50,17,Tuesday,12,Clear,Austin,75.0,10.0,73.0,3.0
2,32.81585097297279,-96.86859011603892,2021-06-15 14:11:32,14,Tuesday,6,Cloudy,Dallas,94.0,10.0,40.0,10.0
3,32.897644,-96.714302,2016-07-08 18:57:39,18,Friday,7,Cloudy,Dallas,95.0,10.0,44.0,16.1
2,29.476219,-98.526016,2022-04-12 07:35:50,7,Tuesday,4,Cloudy,San Antonio,71.0,5.0,93.0,14.0
2,29.76685,-95.406067,2018-11-05 09:06:18,9,Monday,11,Cloudy,Houston,77.0,9.0,89.0,3.5
2,29.514301,-98.695176,2021-04-12 12:08:08,12,Monday,4,Clear,San Antonio,79.0,10.0,60.0,8.0
2,30.307949,-97.515091,2020-07-08 10:53:28,10,Wednesday,7,Fog,Manor,86.0,6.0,66.0,13.0
2,32.6912,-96.846085,2018-05-17 07:59:26,7,Thursday,5,Clear,Dallas,73.0,10.0,79.0,4.6
3,29.53301,-98.389511,2018-02-12 14:00:30,14,Monday,2,Cloudy,San Antonio,47.1,10.0,48.0,10.4
2,33.001476000000004,-96.856529,2018-04-05 09:13:53,9,Thursday,4,Cloudy,Dallas,53.6,13.0,54.0,11.5
2,32.809444,-96.627465,2022-07-01 18:00:05,18,Friday,7,Cloudy,Mesquite,97.0,10.0,34.0,5.0
1,29.374969,-98.404518,2022-06-01 09:50:59,9,Wednesday,6,Cloudy,San Antonio,83.0,10.0,67.0,9.0
2,29.687351,-95.277519,2018-09-12 10:21:57,10,Wednesday,9,Cloudy,Houston,77.0,10.0,94.0,4.6
2,32.795326,-96.829567,2020-11-17 13:59:00,13,Tuesday,11,Clear,Dallas,74.0,10.0,21.0,10.0
